reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
010d750d-31a2-489b-b919-cc6f6f443047,Prahllada Sannamani,https://play-lh.googleusercontent.com/a/ACg8ocLGEkfyTkYeyAhYhEpAGPFudLCTlBnQFzlCO6UQZc65sTMLsg=mo,super,5,0,120169018,2025-11-05 06:43:35,,,120169018
d2ba26eb-00cb-4e4a-87ad-ac7997dbf382,Oliver King,https://play-lh.googleusercontent.com/a/ACg8ocImi1NN2loIsFwQHVt9VND3fnuYig3exLClSqn2uvQvp3XUxPY=mo,good game,5,0,120169018,2025-11-05 06:38:22,,,120169018
dcef5374-343b-4373-b977-d94358626154,shyam ghevariya,https://play-lh.googleusercontent.com/a-/ALV-UjVSnch4FxuGQEYx8b7RKmXTwMZ7t0aajDH8GUF3k-5NY5sbUbuI3g,"Matchmaking is horrible, I get 2+ levels higher opponent almost 90% of the time. Mega knight is over powered pls remove mega knight 😡😡.",1,0,120169018,2025-11-05 06:34:13,,,120169018
3eba29e9-1d8f-4ede-bce4-5bb3e4d73ac6,MarK,https://play-lh.googleusercontent.com/a-/ALV-UjUHa84petAEyRJePkPmioMDLVRrmOM7BKR6CrZ6UlTdUMzj7QY,goblin,5,0,120169018,2025-11-05 06:31:07,,,120169018
6cc9b620-b028-490e-8593-5fbee48f96e4,julio vasquez,https://play-lh.googleusercontent.com/a/ACg8ocJzn65ifer66Bnt8t3pT3to6uy8oEAU6AnaKLn_Pxsz16iyZg=mo,pay to win. if you dont pay they play you with decks that will beat you. Keeps getting worse and worse. super unbalanced game always get counter decks. dont waist you money on this game. i use to put money and i haven bought anything in the past 8 months!,1,1,120169018,2025-11-05 06:30:39,,,120169018
f50f496c-3f38-4237-9be3-19a7ecb2dd9e,Cometre,https://play-lh.googleusercontent.com/a-/ALV-UjX5CnPh-u1ccRB-IhnwVSknBbfnpyg8dv8iTDnk0fBGuNJLW-6i,Rlly good game Addictive,5,0,120169018,2025-11-05 06:29:43,,,120169018
e7e66219-496b-4ced-a58f-3c896c5043d9,Mark,https://play-lh.googleusercontent.com/a-/ALV-UjWO_GcAEm-xz4qaEFNlvOHeIsfeip5VDehqQWw2EfR_6O3DsuTk,pay to win,1,0,120169018,2025-11-05 06:27:17,,,120169018
cb4b959e-8528-4b6e-b461-49c9b78bbbe6,elijah rogers,https://play-lh.googleusercontent.com/a-/ALV-UjXXgg699cCxnHlQekAEkojPz2YvAntB0GzAYC9C-d8LrQo-Lwk,its a good game and its a good 1v1 game i like it Alot and i recoment it for eveyone in the world even kids and all that like even Dads can play it and kids,5,0,120169018,2025-11-05 06:25:47,,,120169018
a387ece7-ad65-4142-ad9b-274d3e6585c4,Ahmed,https://play-lh.googleusercontent.com/a/ACg8ocLaKbv00kMR1K_ug6OP1i4Bg6iZMRmxghSG72BT0uykhvFnPA=mo,Log in failed,1,0,120169018,2025-11-05 06:10:29,,,120169018
c42baadf-ad89-45c9-a252-cf2b077d88e2,Meng Moua,https://play-lh.googleusercontent.com/a-/ALV-UjUJerrkskEbygtkt2JkFZYEWfTQUYk2jS0nBSwQGoteUGGIpmrf,This game is the best cause tonight I'm gonna lose my mind for those who know.,5,0,120169018,2025-11-05 06:05:46,,,120169018
07c39e9f-c168-4a8e-b349-a71156c59823,Viktor Macek,https://play-lh.googleusercontent.com/a-/ALV-UjWrjjgNWySDTrX3tZWW0T3jLu88ABefbVKmhiK77X7rc0AaALE,i hate this game but i love it too,5,0,120169018,2025-11-05 06:02:32,,,120169018
